created_at,entry_id,field1
2019-12-11 08:20:47 UTC,810,-65.00
2019-12-11 08:21:07 UTC,811,-66.00
2019-12-11 08:21:27 UTC,812,-66.00
2019-12-11 08:21:47 UTC,813,-66.00
2019-12-11 08:22:07 UTC,814,-66.00
2019-12-11 08:22:27 UTC,815,-65.00
2019-12-11 08:22:47 UTC,816,-66.00
2019-12-11 08:23:07 UTC,817,-69.00
2019-12-11 08:23:27 UTC,818,-67.00
2019-12-11 08:23:47 UTC,819,-88.00
2019-12-11 08:24:07 UTC,820,-67.00
2019-12-11 08:24:27 UTC,821,-74.00
2019-12-11 08:24:47 UTC,822,-69.00
2019-12-11 08:25:07 UTC,823,-75.00
2019-12-11 08:25:27 UTC,824,-75.00
2019-12-11 08:25:47 UTC,825,-75.00
2019-12-11 08:26:07 UTC,826,-75.00
2019-12-11 08:26:27 UTC,827,-76.00
2019-12-11 08:26:47 UTC,828,-75.00
2019-12-11 08:27:07 UTC,829,-69.00
2019-12-11 08:27:27 UTC,830,-65.00
2019-12-11 08:27:47 UTC,831,-68.00
2019-12-11 08:28:07 UTC,832,-69.00
2019-12-11 08:28:27 UTC,833,-67.00
2019-12-11 08:28:47 UTC,834,-66.00
2019-12-11 08:29:07 UTC,835,-75.00
2019-12-11 08:29:27 UTC,836,-66.00
2019-12-11 08:29:47 UTC,837,-68.00
2019-12-11 08:30:07 UTC,838,-73.00
2019-12-11 08:30:27 UTC,839,-74.00
2019-12-11 08:30:47 UTC,840,-73.00
2019-12-11 08:31:07 UTC,841,-68.00
2019-12-11 08:31:27 UTC,842,-75.00
2019-12-11 08:31:47 UTC,843,-85.00
2019-12-11 08:32:07 UTC,844,-79.00
2019-12-11 08:32:27 UTC,845,-67.00
2019-12-11 08:32:47 UTC,846,-71.00
2019-12-11 08:33:07 UTC,847,-77.00
2019-12-11 08:33:27 UTC,848,-76.00
2019-12-11 08:33:47 UTC,849,-74.00
2019-12-11 08:34:07 UTC,850,-68.00
2019-12-11 08:34:27 UTC,851,-72.00
2019-12-11 08:34:47 UTC,852,-70.00
2019-12-11 08:35:07 UTC,853,-68.00
2019-12-11 08:35:27 UTC,854,-76.00
2019-12-11 08:35:47 UTC,855,-69.00
2019-12-11 08:36:07 UTC,856,-69.00
2019-12-11 08:36:27 UTC,857,-67.00
2019-12-11 08:36:47 UTC,858,-77.00
2019-12-11 08:37:07 UTC,859,-73.00
2019-12-11 08:37:27 UTC,860,-67.00
2019-12-11 08:37:47 UTC,861,-67.00
2019-12-11 08:38:07 UTC,862,-76.00
2019-12-11 08:38:27 UTC,863,-67.00
2019-12-11 08:38:47 UTC,864,-76.00
2019-12-11 08:39:07 UTC,865,-75.00
2019-12-11 08:39:27 UTC,866,-68.00
2019-12-11 08:39:47 UTC,867,-79.00
2019-12-11 08:40:07 UTC,868,-68.00
2019-12-11 08:40:27 UTC,869,-68.00
2019-12-11 08:40:47 UTC,870,-68.00
2019-12-11 08:41:07 UTC,871,-68.00
2019-12-11 08:41:27 UTC,872,-68.00
2019-12-11 08:41:47 UTC,873,-65.00
2019-12-11 08:42:47 UTC,874,-80.00
2019-12-11 08:43:07 UTC,875,-69.00
2019-12-11 08:43:27 UTC,876,-69.00
2019-12-11 08:43:47 UTC,877,-69.00
2019-12-11 08:44:07 UTC,878,-69.00
2019-12-11 08:44:27 UTC,879,-69.00
2019-12-11 08:44:47 UTC,880,-69.00
2019-12-11 08:45:07 UTC,881,-69.00
2019-12-11 08:45:27 UTC,882,-69.00
2019-12-11 08:45:47 UTC,883,-69.00
2019-12-11 08:46:07 UTC,884,-69.00
2019-12-11 08:46:27 UTC,885,-69.00
2019-12-11 08:46:47 UTC,886,-69.00
2019-12-11 08:47:07 UTC,887,-69.00
2019-12-11 08:47:27 UTC,888,-69.00
2019-12-11 08:47:47 UTC,889,-69.00
2019-12-11 08:48:07 UTC,890,-69.00
2019-12-11 08:48:27 UTC,891,-68.00
2019-12-11 08:48:47 UTC,892,-65.00
2019-12-11 08:49:07 UTC,893,-73.00
2019-12-11 08:49:27 UTC,894,-67.00
2019-12-11 08:49:47 UTC,895,-80.00
2019-12-11 08:50:07 UTC,896,-66.00
2019-12-11 08:50:27 UTC,897,-65.00
2019-12-11 08:50:47 UTC,898,-77.00
2019-12-11 08:51:07 UTC,899,-67.00
2019-12-11 08:51:27 UTC,900,-71.00
2019-12-11 08:51:47 UTC,901,-65.00
2019-12-11 08:52:07 UTC,902,-67.00
2019-12-11 08:52:27 UTC,903,-65.00
2019-12-11 08:52:47 UTC,904,-66.00
2019-12-11 08:53:07 UTC,905,-71.00
2019-12-11 08:53:27 UTC,906,-66.00
2019-12-11 08:53:47 UTC,907,-71.00
2019-12-11 08:54:07 UTC,908,-65.00
2019-12-11 08:54:27 UTC,909,-72.00
